Latitude,Longitude,LST_Day,LST_Night,LST_Diff,Emis_31,Emis_32,NDVI,EVI,NDWI,Sun_Angle,Albedo_Diff,View_Angle,Rel_Azimuth,DEM,Desertification_Level,Soil_Type,Recommended_Plant
41.99999999599804,27.00236343793614,311.74,295.38,16.360000000000014,0.984,0.986,0.3197,0.2274,0.1612456747404844,33.45,-0.0100200166805671,2.86,150.15,348.0,Medium,Loamy,"Acacia tortilis. It's hardy, drought-resistant, and grows well in loamy soil, making it suitable for medium desertification levels."
41.99999999599804,27.013577044014536,312.3,295.3,17.0,0.984,0.988,0.3233,0.2282,0.1447669305189094,33.45,-0.0140919149332816,2.88,150.12,298.0,Medium,Loamy,"Acacia tortilis. It adapts well to medium desertification levels, requires loamy soil, and has drought-resistant traits."
41.99999999599804,27.02479065009293,312.68,295.6,17.079999999999984,0.984,0.986,0.3941,0.2979,0.2331086377175106,36.53,-0.03294490960983,27.66,-22.09,312.0,Low,Loamy,"Acacia tortilis. It's drought-resistant, adapts well to loamy soil, and can thrive in low desertification areas."
41.99999999599804,27.036004256171324,312.62,296.08,16.54000000000002,0.984,0.986,0.3629,0.2274,0.2479357286320017,30.54,-0.0110088223366571,32.04,151.75,367.0,Low,Loamy,"Acacia tortilis. It's drought-resistant, adapts to various soil types including loamy, requires low water for survival, hence ideal for an environment with low desertification level and moderate vegetation and water availability."
41.99999999599804,27.04721786224972,311.86,296.08,15.78000000000003,0.984,0.986,0.4203,0.3229,0.2845817828830286,36.51,-0.0156027089574916,27.5,-22.03,381.0,Low,Loamy,"Acacia tortilis. It's drought-resistant, suits low desertification areas, and thrives in loamy soil."
41.99999999599804,27.05843146832811,311.64,295.98,15.659999999999968,0.984,0.986,0.4615,0.3515,0.3258869908015768,36.51,-0.012711955542602,27.47,-23.21,432.0,Low,Clay,"Acacia tortilis. It adapts well to clay soil and moderate desertification, supporting vegetation while mitigating soil erosion."
41.99999999599804,27.06964507440651,311.66,296.0,15.660000000000023,0.984,0.988,0.4847,0.3641,0.2893602916804773,36.5,-0.0221335801797586,27.4,-22.85,425.0,Low,Clay,"Acacia tortilis. It thrives in clay soil and tolerates high temperatures, making it suitable for this environment with low desertification and high land surface temperature."
41.99999999599804,27.0808586804849,311.72,295.98,15.740000000000007,0.984,0.986,0.4423,0.3363,0.2693246541903987,36.49,-0.0125637614331098,27.29,-21.98,459.0,Low,Clay,"Acacia tortilis. It's drought-resistant, thrives in clay soil, and has deep root systems which help prevent desertification, making it ideal for this environment."
41.99999999599804,27.09207228656329,311.74,295.90000000000003,15.839999999999977,0.984,0.988,0.5041,0.3783,0.3392887819962206,36.48,-0.0112727717913375,27.26,-22.42,472.0,Low,Clay,"Acacia tortilis. It thrives in clay soil, adapts to low desertification levels, moderate temperature, and has drought-resistant qualities suitable for this environment."
41.99999999599804,27.103285892641694,311.76,295.90000000000003,15.859999999999957,0.984,0.986,0.5241,0.3898,0.3217094017094017,36.48,-0.0216382647201833,27.19,-23.76,473.0,Low,Clay,"Acacia tortilis. It's drought-resistant, thrives in clay soil, and has deep root systems to combat low vegetation indices, making it ideal for environments prone to desertification with lower NDVI and NDWI values."
41.99999999599804,27.11449949872009,311.88,295.8,16.079999999999984,0.984,0.986,0.4564,0.3354,0.257306012764528,36.47,-0.0231219149124139,27.14,-23.31,397.0,Low,Loamy,"Acacia tortilis. It thrives in loamy soil, moderate desertification levels, and has drought-resistant capabilities, making it ideal for this environment."
41.99999999599804,27.12571310479849,311.96,295.38,16.579999999999984,0.984,0.988,0.4377,0.3236,0.2279178493905493,36.46,-0.0109936296649766,27.03,-22.83,436.0,Low,Clay,"Acacia tortilis. It thrives in clay soil and can tolerate high temperatures, making it ideal for this environment."
41.99999999599804,27.136926710876875,311.74,295.14,16.600000000000023,0.984,0.986,0.4489,0.329,0.2539035980991174,36.46,-0.0127739560559572,27.0,-23.23,495.0,Low,Clay,"Acacia tortilis. It adapts well to clay soil and tolerates high temperatures, making it suitable for this environment."
41.99999999599804,27.14814031695527,310.5,294.56,15.939999999999998,0.984,0.986,0.5822,0.4217,0.3719771091009784,36.45,-0.0132169058034877,26.91,-23.69,476.0,Low,Clay,"Acacia tortilis. It's drought-resistant, adaptable to clay soil, enhances biodiversity, and provides shade in desert conditions."
41.99999999599804,27.159353923033667,310.2,294.46,15.740000000000007,0.984,0.986,0.642,0.4709,0.4447378347793285,36.44,-0.0116086494096764,26.86,-23.69,470.0,Low,Clay,Acacia tortilis. It thrives in clay soil and can withstand moderate desertification levels.
41.99999999599804,27.17056752911206,309.32,294.38,14.939999999999998,0.984,0.986,0.7466,0.5595,0.5986312399355878,36.43,-0.0134370948545526,26.77,-23.65,487.0,Low,Clay,"Tamarisk. It thrives in clay soil, tolerates high temperatures, and has high water use efficiency."
41.99999999599804,27.18178113519045,306.78000000000003,293.82,12.960000000000036,0.984,0.986,0.6669,0.4968,0.5005692599620494,36.43,-0.0141666255101384,26.73,-23.61,584.0,Low,Clay,"Acacia tortilis. It thrives in clay soil and can withstand high temperatures, making it suitable for this environment."
41.99999999599804,27.19299474126885,306.44,293.78000000000003,12.659999999999968,0.984,0.986,0.6609,0.4894,0.4836738590796256,36.42,-0.0103495135298319,26.63,-23.61,551.0,Low,Clay,"Ziziphus spina-christi, as it thrives in clay soil and requires low desertification levels, making it suitable for the given environment."
41.99999999599804,27.204208347347244,305.8,293.8,12.0,0.982,0.986,0.7479,0.5645,0.5901060070671378,36.41,-0.0179415456722701,26.58,-23.61,502.0,Low,Clay,"Acacia tortilis. It thrives in clay soil and semi-arid conditions, providing good shade and habitat while tolerating low desertification levels."
41.99999999599804,27.21542195342564,304.74,293.88,10.860000000000014,0.982,0.984,0.7523000000000001,0.5671,0.5987558320373251,36.4,-0.0125595579023671,26.49,-23.62,544.0,Low,Clay,"Acacia tortilis. It thrives in clay soil, tolerates moderate desertification, has high NDVI indicating good growth potential, performs well with specific land surface temperature, and is adapted to its elevation range."
41.99999999599804,27.22663555950404,304.76,293.88,10.879999999999995,0.982,0.984,0.7586,0.5629000000000001,0.6099502487562188,36.4,-0.01298130218329,26.45,-23.53,535.0,Low,Clay,"Acacia tortilis. It adapts well to clay soil, requires low desertification levels and moderate vegetation and water indexes, tolerates high day temperatures, and can grow at this elevation."
41.99999999599804,27.23784916558243,304.56,293.90000000000003,10.659999999999968,0.98,0.984,0.8017000000000001,0.6109,0.6530731707317072,36.39,-0.0116061556718451,26.36,-23.53,543.0,Low,Clay,"Acacia tortilis. It thrives in clay soil, tolerates low desertification levels, and has high NDVI & NDWI values, indicating good photosynthesis capacity."
41.99999999599804,27.249062771660824,304.32,293.96,10.360000000000014,0.98,0.984,0.804,0.6111,0.6560157790927021,36.39,-0.0102293411036858,26.31,-23.54,481.0,Low,Clay,"Acacia tortilis. It thrives in clay soil and tolerates high temperatures, making it suitable for this environment."
41.99999999599804,27.26027637773922,304.26,294.06,10.199999999999989,0.98,0.984,0.8058000000000001,0.6108,0.6649909511361352,36.38,-0.0114400678630577,26.22,-23.5,506.0,Low,Clay,"Acacia tortilis. It thrives in clay soil, tolerates high temperatures, and contributes to preventing desertification."
41.99999999599804,27.271489983817617,304.16,294.06,10.100000000000025,0.98,0.984,0.7908000000000001,0.5904,0.6643821391484942,36.38,-0.0130159599221202,26.17,-23.46,536.0,Low,Clay,"Tamarisk is recommended due to its adaptability in clay soil and tolerance of high temperatures, making it suitable for this environment."
41.99999999599804,27.28270358989601,304.24,294.16,10.079999999999984,0.98,0.984,0.7816000000000001,0.5933,0.6276574607589905,36.37,-0.0131993327773143,26.08,-23.46,484.0,Low,Clay,"Acacia tortilis. It thrives in clay soil, requires minimal water, and tolerates high temperatures, making it ideal for this environment."
41.99999999599804,27.2939171959744,304.34000000000003,294.54,9.800000000000011,0.982,0.984,0.7666000000000001,0.5821000000000001,0.6106194690265486,36.36,-0.0131653233407599,26.03,-23.46,526.0,Low,Clay,"Acacia tortilis. It thrives in clay soil and desert conditions, providing shade and improving soil structure with its deep root system."
41.99999999599804,27.3051308020528,304.44,294.58,9.860000000000014,0.982,0.984,0.8111,0.6312,0.6654957064793131,36.35,-0.0112025715062805,25.94,-23.47,572.0,Low,Clay,"Acacia tortilis. It thrives in clay soil and dry conditions, making it ideal for low desertification areas. Its deep root system helps prevent soil erosion."
41.99999999599804,27.3163444081312,304.44,294.14,10.300000000000011,0.98,0.984,0.8124,0.6139,0.6600079904115062,36.35,-0.0116159532443282,25.9,-23.37,495.0,Low,Clay,"Acacia tortilis. It thrives in clay soil and moderate desertification, enhancing vegetation index, withstanding high temperatures and being adaptable to the area's elevation."
41.99999999599804,27.32755801420959,304.18,293.84000000000003,10.339999999999977,0.98,0.984,0.8179000000000001,0.6361,0.6660276073619631,36.34,-0.0094542324330601,25.81,-23.38,378.0,Low,Loamy,"Acacia tortilis. It thrives in loamy soil, is resistant to desertification and can handle high temperatures, making it ideal for this environment."
41.99999999599804,27.33877162028798,304.0,293.92,10.079999999999984,0.98,0.984,0.8318000000000001,0.6414000000000001,0.6880914826498422,36.33,-0.0175061494809757,25.73,-23.38,473.0,Low,Clay,"Tamarisk. It thrives in clay soil, tolerates dry conditions, and has high water usage efficiency."
41.99999999599804,27.34998522636637,303.92,294.40000000000003,9.519999999999982,0.98,0.984,0.8337,0.646,0.6913145539906105,36.32,-0.0139739566124397,25.66,-23.33,464.0,Low,Clay,"Acacia tortilis. It tolerates clay soil and arid conditions, enhancing biodiversity without exacerbating desertification."
41.99999999599804,27.36119883244477,303.46,294.28000000000003,9.17999999999995,0.98,0.984,0.8393,0.6634,0.7071855133885571,36.32,-0.0115545620794645,25.62,-23.29,512.0,Low,Clay,"Acacia tortilis. It thrives in clay soil, tolerates high temperatures, requires low water, making it suitable for the given environment."
41.99999999599804,27.372412438523167,303.26,294.74,8.519999999999982,0.98,0.984,0.8402000000000001,0.6583,0.6824908706515472,36.31,-0.0112472744523688,25.53,-23.3,530.0,Low,Clay,"Acacia tortilis. It thrives in clay soil and moderate desertification levels, providing good NDVI scores indicating strong growth potential."
41.99999999599804,27.38362604460156,303.22,294.84000000000003,8.379999999999995,0.98,0.984,0.8458,0.6617000000000001,0.6860779020439645,36.3,-0.0118707256046706,25.46,-23.3,500.0,Low,Clay,"Acacia tortilis. It thrives in clay soil and semi-arid conditions, tolerating low desertification levels and moderate temperatures. Its deep root system aids water absorption."
41.99999999599804,27.394839650679955,303.08,294.52,8.560000000000002,0.98,0.984,0.8504,0.6705,0.6938461538461539,36.29,-0.0108006672226856,25.39,-23.3,541.0,Low,Clay,"Acacia tortilis. It thrives in clay soil and can withstand moderate temperatures, making it suitable for the given environment."
41.99999999599804,27.40605325675835,303.06,294.42,8.639999999999986,0.98,0.984,0.8370000000000001,0.6495000000000001,0.6916748285994123,36.29,-0.0108079821869907,25.32,-23.2,581.0,Low,Clay,"Ziziphus spina-christi, due to its drought resistance and adaptability in clay soil with low desertification level."
41.99999999599804,27.41726686283674,303.16,294.40000000000003,8.759999999999991,0.98,0.984,0.8390000000000001,0.651,0.6920054999017876,36.28,-0.0102293828398838,25.25,-23.21,572.0,Low,Clay,"Acacia tortilis. It thrives in clay soil, tolerates high temperatures, and contributes to preventing desertification."
41.99999999599804,27.428480468915136,303.32,294.44,8.879999999999995,0.98,0.984,0.8344,0.6329,0.6776675440372545,36.27,-0.0151993327773143,25.16,-23.21,478.0,Low,Clay,"Acacia tortilis. It thrives in clay soil, tolerates high temperatures, requires little water, and has deep root systems to resist desertification."
41.99999999599804,27.439694074993536,303.34000000000003,294.58,8.760000000000048,0.98,0.984,0.8587,0.687,0.7050057317539167,36.27,-0.0151869106935788,25.11,-23.16,443.0,Low,Clay,"Acacia tortilis. It thrives in clay soil and is drought-resistant, making it ideal for low desertification areas."
41.99999999599804,27.45090768107193,303.6,294.74,8.860000000000014,0.98,0.984,0.8123,0.6155,0.6618632027603004,36.26,-0.0088303520935222,25.02,-23.12,438.0,Low,Clay,"Acacia tortilis. It's drought-resistant, adapts to clay soil, enhances soil structure, and provides good shade in low desertification areas."
41.99999999599804,27.46212128715032,303.76,294.82,8.939999999999998,0.98,0.984,0.8033,0.6047,0.6483292583537082,36.26,-0.0115898521216941,24.98,-23.12,460.0,Low,Clay,"Acacia tortilis. It adapts well to clay soil, has deep root systems for water absorption, and tolerates high temperatures, making it ideal for this environment."
41.99999999599804,27.47333489322872,304.1,294.8,9.300000000000011,0.98,0.984,0.7671,0.5683,0.6027060270602707,36.25,-0.0122327217357249,24.89,-23.13,452.0,Low,Clay,"Acacia tortilis. It thrives in clay soil, tolerates high temperatures, and has deep root systems to access water deeply, making it drought-resistant."
41.99999999599804,27.48454849930711,305.0,294.1,10.899999999999975,0.982,0.984,0.7588,0.559,0.5965932696302451,36.24,-0.0130340567375788,24.81,-23.13,443.0,Low,Clay,"Acacia tortilis. Drought-resistant, adaptable to clay soil, provides good vegetation coverage as indicated by NDVI and NDWI values."
41.99999999599804,27.495762105385506,305.02,294.04,10.97999999999996,0.982,0.986,0.7471,0.5526,0.5791827607237244,36.23,-0.0123411975923781,24.74,-23.03,369.0,Low,Loamy,"Acacia tortilis. It suits the environment due to its drought tolerance and ability to grow in loamy soil, making it ideal for low desertification areas."
41.99999999599804,27.5069757114639,306.26,293.04,13.21999999999997,0.982,0.986,0.6498,0.4464,0.4644260148406809,36.22,-0.0105078836200033,24.67,-23.03,317.0,Low,Loamy,"Acacia tortilis. It thrives in loamy soil, requires low desertification levels, and can handle high temperature conditions while being moderately drought-resistant."
41.99999999599804,27.51818931754229,306.76,292.52,14.240000000000007,0.984,0.986,0.4718,0.2905,0.2449500812630601,36.22,-0.0171871694580062,24.61,-23.04,317.0,Low,Loamy,"Acacia tortilis. It thrives in loamy soil, tolerates moderate temperatures, requires low desertification levels, and can adapt to varying NDVI and NDWI values, making it suitable for this environment."
